股票代码,股票简称,时间,持有基金家数,持股变化,持股总数,持股市值,持股变动数值,持股变动比例%
603331,百达精工,2017-06-30,1551,新进,1550045,14926933.3499995,1550045,0.04398716
603043,广州酒家,2017-06-30,1512,新进,2715597,68623136.1900018,2715597,0.671729999999991
603679,华体科技,2017-06-30,1492,新进,1207750,32005375,1207750,1.20694099999999
603617,君禾股份,2017-06-30,1487,新进,1239760,11071056.7999997,1239760,0.045735
603933,睿能科技,2017-06-30,1462,新进,1255424,25359564.7999995,1255424,0.03875023
603938,三孚股份,2017-06-30,1456,新进,1816986,30525364.8000007,1816986,1.20915746
603305,旭升股份,2017-06-30,1448,新进,1960809,22078709.4400004,1960809,0.01822046
603286,日盈电子,2017-06-30,1435,新进,1278727,19436650.4,1278727,1.45083315000002
603801,志邦家居,2017-06-30,1391,新进,1955184,66085219.1999984,1955184,1.22111158000003
603335,迪生力,2017-06-30,1369,新进,3052347,34033669.05,3052347,1.2039619
300669,沪宁股份,2017-06-30,1359,新进,1148383,20004831.8600001,1148383,1.36287329000002
300666,江丰电子,2017-06-30,1354,新进,3074717,58696347.5300019,3074717,1.40448080000003
002882,金龙羽,2017-06-30,1316,新进,3889348,24113957.5999994,3889348,0.0325046
300671,富满电子,2017-06-30,1304,新进,1228890,9966297.89999994,1228890,0.03860079
002879,长缆科技,2017-06-30,1299,新进,1700838,30649100.7600008,1700838,0.04382655
002881,美格智能,2017-06-30,1293,新进,1279504,29249461.4399992,1279504,1.19949941000002
300670,大烨智能,2017-06-30,1246,新进,1570084,17161018.1199996,1570084,0.04920182
300672,国科微,2017-06-30,1185,新进,1490901,12642840.4799999,1490901,0.04649214
601318,中国平安,2017-06-30,957,增持,758173762,37613000332.82,345406381,83.6806387566754
000651,格力电器,2017-06-30,875,增持,632801617,26052442571.89,172373246,37.4375813605109
603380,易德龙,2017-06-30,820,新进,1046382,28513909.5,1046382,0.653988780000005
600519,贵州茅台,2017-06-30,779,增持,46260371,21827956056.35,7296344,18.7258467919653
000858,五粮液,2017-06-30,771,增持,373012962,20761901464.92,120693550,47.8336363592984
600104,上汽集团,2017-06-30,671,增持,384751530,11946535006.5,137329750,55.5043092810989
600887,伊利股份,2017-06-30,670,增持,821477996,17735709933.64,279781142,51.6490247144762
601878,浙商证券,2017-06-30,642,新进,6573092,111808294.919999,6573092,0.19719276
000333,美的集团,2017-06-30,636,增持,424858244,18285898821.76,130684556,44.4242844723761
600036,招商银行,2017-06-30,630,增持,863070668,20636019671.88,274591987,46.6613313048804
601398,工商银行,2017-06-30,621,增持,1818986223,9549677670.75,961911406,112.231906354098
601601,中国太保,2017-06-30,616,增持,419349398,14203364110.26,345032056,464.26856331864
601166,兴业银行,2017-06-30,568,增持,772610030,13026205105.8,95379596,14.0837728506454
000568,泸州老窖,2017-06-30,552,增持,246798472,12483066713.76,115247514,87.6067462769826
601288,农业银行,2017-06-30,541,增持,2910786547,10245968645.44,888774225,43.9549361460321
600030,中信证券,2017-06-30,534,增持,737173678,12546695999.56,311869945,73.3287579678968
600048,保利地产,2017-06-30,532,增持,578799423,5770630247.31,313298863,118.00308933435
002241,歌尔股份,2017-06-30,523,增持,402410123,7758467171.44,311830119,344.259334543637
600028,中国石化,2017-06-30,523,增持,925989955,5491120433.15,212361371,29.7579687475075
601668,中国建筑,2017-06-30,518,增持,929520452,8997757975.36,312631622,50.678762006438
601607,上海医药,2017-06-30,516,增持,251825557,7272722086.16,127906732,103.218160759675
000063,中兴通讯,2017-06-30,514,增持,342665881,8134888014.94,196787919,134.899004827062
600703,三安光电,2017-06-30,508,增持,488077868,9615133999.6,310558034,174.94272442819
002456,欧菲光,2017-06-30,502,增持,556175717,10105712777.89,417063081,299.802442820507
601336,新华保险,2017-06-30,493,增持,143190808,7360007531.2,123939427,643.794993200748
600068,葛洲坝,2017-06-30,483,增持,536318893,6028224357.32,204473160,61.6169321062206
601006,大秦铁路,2017-06-30,472,增持,632483888,5306539820.32,317507689,100.80370834623
002142,宁波银行,2017-06-30,470,增持,302850636,5845017274.80001,145717373,92.7348991664483
002236,大华股份,2017-06-30,459,增持,474358005,10820106094.05,192584351,68.3471815998809
601328,交通银行,2017-06-30,454,减持,1439323247,8866231201.52,-15587836,-1.07139440905613
601939,建设银行,2017-06-30,453,增持,786130477,4834702433.55,493247626,168.411234838738
601988,中国银行,2017-06-30,448,增持,1280150247,4736555913.9,648793016,102.761635432984
002027,分众传媒,2017-06-30,446,增持,419057930,5766237116.8,363420452,653.193611687431
002008,大族激光,2017-06-30,433,增持,204515158,7084405073.12,124564415,155.801447648835
002415,海康威视,2017-06-30,431,增持,254684422,8226306830.59999,115590202,83.1020886417854
600741,华域汽车,2017-06-30,425,增持,251236124,6089963645.76,164348808,189.151668581868
600900,长江电力,2017-06-30,422,增持,257457277,3959692920.26,123132099,91.6671772435693
000423,东阿阿胶,2017-06-30,416,增持,87470919,6288284366.91,15423321,21.4071272716129
000001,平安银行,2017-06-30,416,增持,632537246,5939524739.94,311753231,97.1847774272668
002475,立讯精密,2017-06-30,415,增持,320629556,9322751716.07999,82422580,34.6012452632789
000963,华东医药,2017-06-30,410,增持,114666991,5698949452.7,75331341,191.50907891442
000538,云南白药,2017-06-30,408,增持,55991605,5254812129.25,24964084,80.4578748008905
002466,天齐锂业,2017-06-30,402,增持,151534310,8235889748.5,86696297,133.712143522967
000069,华侨城A,2017-06-30,402,增持,442769963,4454265827.78,292537076,194.722395236936
603316,诚邦股份,2017-06-30,401,新进,692447,14721423.2200001,692447,0.34063591
601818,光大银行,2017-06-30,400,增持,1194670771,4838416622.55,801306465,203.705941992612
601688,华泰证券,2017-06-30,397,增持,351079864,6284329565.6,195840439,126.153803391117
000895,双汇发展,2017-06-30,393,增持,154031593,3658250333.75,93538226,154.625590604008
600029,南方航空,2017-06-30,386,增持,429006603,3732357446.1,290674485,210.127979823167
600585,海螺水泥,2017-06-30,385,增持,172974868,3931718749.64,129956410,302.094533467471
601169,北京银行,2017-06-30,382,增持,602341913,5523475342.21,416641991,224.36304038943
601628,中国人寿,2017-06-30,377,增持,202809133,5471790408.34,97004005,91.681761398181
600015,华夏银行,2017-06-30,374,增持,441211458,4067969642.76,321913190,269.838946865515
001979,招商蛇口,2017-06-30,369,增持,197926273,4227705191.28,137317226,226.56225893141
000725,京东方A,2017-06-30,368,增持,900668671,3746781671.36,424955773,89.3303029593282
000002,万科A,2017-06-30,367,增持,225889949,5640472026.53,122239568,117.934509087815
600016,民生银行,2017-06-30,362,增持,1011957288,8318288907.36,93236931,10.1485648260214
600019,宝钢股份,2017-06-30,362,增持,543189638,3644802470.98,380509801,233.901021796573
600309,万华化学,2017-06-30,362,增持,166527842,4769357394.88,94639563,131.64811331761
600276,恒瑞医药,2017-06-30,362,增持,110683829,5599494909.11,42419378,62.1397775542061
601009,南京银行,2017-06-30,350,增持,258792595,2901064989.95,74284588,40.2609020648085
600000,浦发银行,2017-06-30,347,增持,627967318,7943786572.7,199014585,46.395457981614
600690,海尔智家,2017-06-30,347,增持,369832904,5565985205.2,244757687,195.688396846835
601186,中国铁建,2017-06-30,345,增持,244354971,2939590301.13,78968841,47.748164250533
300070,碧水源,2017-06-30,344,增持,204230018,3808889835.7,87217938,74.5375503110448
600196,复星医药,2017-06-30,339,增持,200372031,6209529240.69,119227864,146.933375999781
600066,宇通客车,2017-06-30,332,增持,168328621,3698179803.37,103999851,161.66926711019
601088,中国神华,2017-06-30,331,增持,183198352,4158066112.14,78498522,74.9748323373591
002450,*ST康得,2017-06-30,330,增持,294235385,6626180870.19999,130042048,79.2005634187214
002508,老板电器,2017-06-30,328,增持,120593088,5243387466.23999,63678473,111.88421989677
